2020-02-03T16:08:19.498Z | soapApp.js | error | "uncaughtException: path is not defined\nReferenceError: path is not defined\n    at Object.<anonymous> (/Users/Macbook/code/minor/mfg-sdk/services/database.js:3:53)\n    at Module._compile (internal/modules/cjs/loader.js:778:30)\n    at Object.Module._extensions..js (internal/modules/cjs/loader.js:789:10)\n    at Module.load (internal/modules/cjs/loader.js:653:32)\n    at tryModuleLoad (internal/modules/cjs/loader.js:593:12)\n    at Function.Module._load (internal/modules/cjs/loader.js:585:3)\n    at Module.require (internal/modules/cjs/loader.js:692:17)\n    at require (internal/modules/cjs/helpers.js:25:18)\n    at Object.<anonymous> (/Users/Macbook/code/minor/mfg-sdk/controllers/soapApp.js:16:26)\n    at Module._compile (internal/modules/cjs/loader.js:778:30)\n    at Object.Module._extensions..js (internal/modules/cjs/loader.js:789:10)\n    at Module.load (internal/modules/cjs/loader.js:653:32)\n    at tryModuleLoad (internal/modules/cjs/loader.js:593:12)\n    at Function.Module._load (internal/modules/cjs/loader.js:585:3)\n    at Module.require (internal/modules/cjs/loader.js:692:17)\n    at require (internal/modules/cjs/helpers.js:25:18)"
2020-02-03T16:08:27.133Z | soapApp.js | error | "uncaughtException: path is not defined\nReferenceError: path is not defined\n    at Object.<anonymous> (/Users/Macbook/code/minor/mfg-sdk/services/database.js:3:53)\n    at Module._compile (internal/modules/cjs/loader.js:778:30)\n    at Object.Module._extensions..js (internal/modules/cjs/loader.js:789:10)\n    at Module.load (internal/modules/cjs/loader.js:653:32)\n    at tryModuleLoad (internal/modules/cjs/loader.js:593:12)\n    at Function.Module._load (internal/modules/cjs/loader.js:585:3)\n    at Module.require (internal/modules/cjs/loader.js:692:17)\n    at require (internal/modules/cjs/helpers.js:25:18)\n    at Object.<anonymous> (/Users/Macbook/code/minor/mfg-sdk/controllers/soapApp.js:16:26)\n    at Module._compile (internal/modules/cjs/loader.js:778:30)\n    at Object.Module._extensions..js (internal/modules/cjs/loader.js:789:10)\n    at Module.load (internal/modules/cjs/loader.js:653:32)\n    at tryModuleLoad (internal/modules/cjs/loader.js:593:12)\n    at Function.Module._load (internal/modules/cjs/loader.js:585:3)\n    at Module.require (internal/modules/cjs/loader.js:692:17)\n    at require (internal/modules/cjs/helpers.js:25:18)"
2020-02-03T16:08:45.909Z | soapApp.js | error | "uncaughtException: path is not defined\nReferenceError: path is not defined\n    at Object.<anonymous> (/Users/Macbook/code/minor/mfg-sdk/services/database.js:3:53)\n    at Module._compile (internal/modules/cjs/loader.js:778:30)\n    at Object.Module._extensions..js (internal/modules/cjs/loader.js:789:10)\n    at Module.load (internal/modules/cjs/loader.js:653:32)\n    at tryModuleLoad (internal/modules/cjs/loader.js:593:12)\n    at Function.Module._load (internal/modules/cjs/loader.js:585:3)\n    at Module.require (internal/modules/cjs/loader.js:692:17)\n    at require (internal/modules/cjs/helpers.js:25:18)\n    at Object.<anonymous> (/Users/Macbook/code/minor/mfg-sdk/controllers/soapApp.js:16:26)\n    at Module._compile (internal/modules/cjs/loader.js:778:30)\n    at Object.Module._extensions..js (internal/modules/cjs/loader.js:789:10)\n    at Module.load (internal/modules/cjs/loader.js:653:32)\n    at tryModuleLoad (internal/modules/cjs/loader.js:593:12)\n    at Function.Module._load (internal/modules/cjs/loader.js:585:3)\n    at Module.require (internal/modules/cjs/loader.js:692:17)\n    at require (internal/modules/cjs/helpers.js:25:18)"
2020-02-03T16:09:51.451Z | soapApp.js | error | "uncaughtException: path is not defined\nReferenceError: path is not defined\n    at Object.<anonymous> (/Users/Macbook/code/minor/mfg-sdk/services/database.js:3:53)\n    at Module._compile (internal/modules/cjs/loader.js:778:30)\n    at Object.Module._extensions..js (internal/modules/cjs/loader.js:789:10)\n    at Module.load (internal/modules/cjs/loader.js:653:32)\n    at tryModuleLoad (internal/modules/cjs/loader.js:593:12)\n    at Function.Module._load (internal/modules/cjs/loader.js:585:3)\n    at Module.require (internal/modules/cjs/loader.js:692:17)\n    at require (internal/modules/cjs/helpers.js:25:18)\n    at Object.<anonymous> (/Users/Macbook/code/minor/mfg-sdk/controllers/soapApp.js:16:26)\n    at Module._compile (internal/modules/cjs/loader.js:778:30)\n    at Object.Module._extensions..js (internal/modules/cjs/loader.js:789:10)\n    at Module.load (internal/modules/cjs/loader.js:653:32)\n    at tryModuleLoad (internal/modules/cjs/loader.js:593:12)\n    at Function.Module._load (internal/modules/cjs/loader.js:585:3)\n    at Module.require (internal/modules/cjs/loader.js:692:17)\n    at require (internal/modules/cjs/helpers.js:25:18)"
2020-02-03T16:10:22.032Z | soapApp.js | info | "[Server] started Mon Feb 03 2020 23:10:22 GMT+0700 (Indochina Time)"
2020-02-03T16:10:22.043Z | database.js | info | "DPI-1047: Cannot locate a 64-bit Oracle Client library: \"dlopen(libclntsh.dylib, 1): image not found\". See https://oracle.github.io/odpi/doc/installation.html#macos for help\nNode-oracledb installation instructions: https://oracle.github.io/node-oracledb/INSTALL.html\nYou must have the 64-bit Oracle Instant Client Basic or Basic Light package in ~/lib or /usr/local/lib\nThey can be downloaded from http://www.oracle.com/technetwork/topics/intel-macsoft-096467.html"
2020-02-03T16:11:08.591Z | soapApp.js | info | "[Server] started Mon Feb 03 2020 23:11:08 GMT+0700 (Indochina Time)"
2020-02-03T16:11:08.602Z | database.js | info | "DPI-1047: Cannot locate a 64-bit Oracle Client library: \"dlopen(libclntsh.dylib, 1): image not found\". See https://oracle.github.io/odpi/doc/installation.html#macos for help\nNode-oracledb installation instructions: https://oracle.github.io/node-oracledb/INSTALL.html\nYou must have the 64-bit Oracle Instant Client Basic or Basic Light package in ~/lib or /usr/local/lib\nThey can be downloaded from http://www.oracle.com/technetwork/topics/intel-macsoft-096467.html"
2020-02-03T16:11:27.820Z | soapApp.js | info | "[Server] started Mon Feb 03 2020 23:11:27 GMT+0700 (Indochina Time)"
2020-02-03T16:11:27.830Z | database.js | info | "DPI-1047: Cannot locate a 64-bit Oracle Client library: \"dlopen(libclntsh.dylib, 1): image not found\". See https://oracle.github.io/odpi/doc/installation.html#macos for help\nNode-oracledb installation instructions: https://oracle.github.io/node-oracledb/INSTALL.html\nYou must have the 64-bit Oracle Instant Client Basic or Basic Light package in ~/lib or /usr/local/lib\nThey can be downloaded from http://www.oracle.com/technetwork/topics/intel-macsoft-096467.html"
